Member,,"TOTAL ALLOWANCES CLAIMED, INC TRAVEL","TOTAL BASIC ALLOWANCES, EXC TRAVEL",TOTAL TRAVEL CLAIMED,Cost of staying away from main home,London supplement,Office running costs,Staffing costs,Centrally purchased stationery,Stationery associated postage costs,Central IT provision,Staff cover and other costs,Comms allowance,Mileage,MP Rail,MP Air,MP Misc (see notes),MP other Mileage,MP other Rail,MP other Air,MP other European,Spouse Total,No. of Journeys,Family Total,No. of Journeys,Employee Total,No. of Journeys
Joyce,Eric,187334,146697,40637,22466,0,21392,87907,1003,3753,1545,0,8631,7213,3183,21459,2224,0,78,145,510,1354,8,3075,20,1396,9
Connarty,Michael,183466,156207,27259,23083,0,29147,81455,685,3428,1173,6304,10932,6049,2410,13384,2552,0,0,0,1006,871,5,0,0,987,6
Carmichael,Mr Alistair,176190,135349,40841,23083,0,28462,77256,273,1160,1098,0,4017,1680,3155,26051,142,0,39,88,569,2740,10,2979,13,3398,18
Wallace,Mr Ben,175523,157599,17924,23083,0,20607,90825,619,2265,939,9512,9749,5559,8905,681,413,409,980,300,0,615,4,0,0,62,2
Sarwar,Mr Mohammad,174882,149761,25121,22745,0,21104,90504,1087,2840,1481,0,10000,0,2042,15836,0,0,0,0,0,2385,10,0,0,4858,23
Kennedy,Rt Hon Charles,174232,140338,33894,21287,0,20219,86023,594,1497,1176,0,9542,2635,4027,11986,2243,0,0,268,0,6046,30,5250,30,1439,10
Anderson,Janet,173556,152591,20965,23039,0,29281,82300,1367,5404,1270,0,9930,11996,2987,2693,715,0,0,0,1156,0,0,0,0,1418,14
Borrow,Mr David S,172706,158361,14345,23083,0,21276,88173,1677,3772,1374,0,19006,3451,7467,254,564,0,61,0,1144,529,9,0,0,875,9
McGovern,Mr Jim,171989,151138,20851,22568,0,21015,90509,1483,4047,1223,0,10293,1680,2214,12186,0,0,275,0,623,2124,14,0,0,1749,10
Hamilton,Mr Fabian,171824,159035,12789,23083,0,30380,81322,1348,3120,1492,8481,9809,4407,6934,62,79,0,0,0,0,851,10,179,4,277,2
Doran,Mr Frank,171717,147667,24050,22854,0,23587,88257,1107,3211,1346,0,7305,3262,2671,14587,2727,0,0,0,0,0,0,0,0,803,6
Dodds,Mr Nigel,171609,143737,27872,22992,0,29812,74351,1118,4052,1301,0,10111,2572,3829,12043,421,0,0,0,2671,4091,18,1782,11,463,2
Allen,Mr Graham,171198,152987,18211,22945,0,19608,85944,1446,5462,1291,0,16291,3981,7052,0,1440,0,0,0,2298,1417,23,1019,27,1004,13
Banks,Gordon,171106,149312,21794,23083,0,23778,87744,892,2460,1079,0,10276,2958,3187,11760,1038,0,0,0,0,1769,10,0,0,1082,7
Bruce,Rt Hon Malcolm,170910,145819,25091,23083,0,18862,92840,507,1226,1011,0,8290,4806,1893,10406,1838,0,0,0,795,3113,11,1723,10,517,5
George,Andrew,170367,153048,17319,23083,0,27110,86872,1651,5292,1157,1109,6774,5446,7858,505,243,0,0,0,58,1818,24,466,7,925,10
Davidson,Mr Ian,170014,150574,19440,23083,0,26679,79814,1363,4633,1292,0,13710,4942,3958,6943,346,0,35,0,2090,0,0,0,0,1126,14
Reed,Mr Jamie,169587,150351,19236,22516,0,23508,91022,690,2210,1051,0,9354,2611,15180,0,0,0,0,0,0,454,5,257,2,734,4
Woolas,Mr Phil,169427,149048,20379,23083,0,21319,88848,658,2363,1405,0,11372,2648,9462,2968,2568,0,108,0,0,580,10,899,12,1146,9
Mundell,David,169187,148717,20470,22177,0,28618,78977,1585,4743,1020,0,11597,5337,2950,7899,845,172,182,0,946,571,3,1090,13,478,6
Devine,Jim,169133,150037,19096,22898,0,21274,89532,1610,3662,1033,0,10028,4192,3054,10089,0,0,0,0,0,0,0,0,0,1761,12
Alexander,Danny,168478,142064,26414,23083,0,20971,81712,950,2548,1002,0,11798,3322,2180,14581,988,0,523,0,0,3669,21,93,5,1058,11
Moffat,Anne,168255,146808,21447,23083,0,23533,88292,74,690,1194,0,9942,3787,3205,11628,50,0,0,0,0,242,2,0,0,2535,21
Wishart,Pete,167846,139069,28777,21737,0,24165,76669,1204,3838,1159,0,10297,4247,1998,16470,1144,0,0,0,750,0,0,0,2,4168,14
Hall,Mr Mike,167791,152760,15031,23067,0,17087,94671,1820,5175,1147,0,9793,4563,8275,254,0,0,0,0,0,640,2,0,0,1299,17
Willis,Mr Phil,167561,147008,20553,22905,0,22322,87024,1792,5200,1127,0,6638,3829,12684,593,621,0,0,392,0,1596,10,0,0,838,10
Keen,Ann,167306,167306,0,18338,0,7290,104508,1212,5497,1319,19142,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meale,Mr Alan,167272,143982,23290,23083,0,20149,90505,493,1889,1264,0,6599,7585,10802,0,202,0,77,0,2737,562,10,0,0,1325,24
McKenna,Rosemary,167113,139992,27121,23058,0,22472,83781,326,485,1255,0,8615,3689,1013,9982,788,0,0,0,2105,5731,30,0,0,3813,24
Morden,Jessica,167060,155094,11966,20703,0,27270,89512,1593,4708,1117,0,10191,2788,6813,0,104,0,0,0,508,0,0,0,0,1753,24
Farrelly,Paul,167055,148093,18962,23083,0,17446,94396,664,1333,1171,0,10000,4175,7958,0,657,88,29,0,1819,2957,28,905,16,374,6
Harris,Mr Tom,166991,145595,21396,23083,0,23413,86848,776,3145,1003,0,7327,4575,7104,4846,0,0,0,0,0,3988,24,343,2,540,3
Hesford,Stephen,166866,150424,16442,21665,0,27038,83825,1638,5355,1129,0,9774,5625,10416,0,0,0,0,0,0,329,2,0,0,72,2
Begg,Miss Anne,166793,150132,16661,22116,0,23170,88673,1013,4376,1132,0,9652,2167,579,12570,1345,0,0,0,0,0,0,0,0,0,0
Johnson,Ms Diana R.,166509,155655,10854,21640,0,20063,88052,1253,5478,987,8310,9872,1258,7930,0,670,0,0,0,0,0,0,0,0,996,12
Liddell-Grainger,Mr Ian,166109,150493,15616,23083,0,30256,86469,852,2134,1161,0,6538,7045,1204,0,0,0,0,0,0,2152,20,1512,24,3703,23
Smith,Geraldine,166097,148464,17633,23035,0,22889,85554,410,1077,1100,0,14399,1680,12583,0,450,0,12,0,1143,0,0,0,0,1765,10
Robertson,Angus,165879,138259,27620,23082,0,21696,81953,511,430,1372,0,9215,6045,3474,13003,726,102,0,0,0,0,0,0,0,4270,21
Williams,Hywel,165765,146426,19339,23078,0,20875,93136,852,1460,1018,0,6007,4304,7860,662,203,350,0,0,2597,0,0,254,4,3109,20
Lewis,Mr Ivan,165670,153246,12424,23083,0,21889,88986,2204,4519,1512,323,10730,980,10518,926,0,0,0,0,0,0,0,0,0,0,2
Curtis-Thomas,Mrs Claire,165621,150496,15125,23083,0,14187,97656,901,3678,1340,0,9651,2273,5278,1729,0,0,0,0,0,3790,30,574,4,1481,13
Brown,Rt Hon Nicholas,165315,149640,15675,23068,0,11652,101153,314,1275,1346,0,10832,4973,8638,956,0,0,0,0,0,0,0,0,0,1108,24
Lazarowicz,Mark,165171,153132,12039,21774,0,21587,85364,2084,4789,1196,5289,11049,82,7267,3496,0,0,0,0,0,456,7,738,14,0,0
Jones,Helen,165102,152138,12964,23014,0,25756,85244,2196,4778,1353,0,9797,2997,9967,0,0,0,0,0,0,0,0,0,0,0,0
Brown,Mr Russell,165025,145548,19477,19908,0,26925,83018,1646,2944,1187,0,9920,5006,12138,0,0,0,0,0,0,2067,10,0,0,266,10
Blears,Rt Hon Hazel,164791,148235,16556,23083,0,18636,92407,912,3382,1297,0,8518,1020,12384,170,29,0,0,0,0,2953,6,0,0,0,0
Chapman,Ben,164699,149186,15513,23083,0,23481,81197,1564,5408,1305,0,13148,3100,6369,0,32,24,278,0,0,4620,25,0,0,1090,14
Levitt,Tom,164620,150333,14287,22450,0,15304,86154,2025,4594,930,1561,17315,3556,7351,0,6,0,77,0,0,2955,22,0,0,342,4
Mahmood,Mr Khalid,164614,147152,17462,17900,0,15742,101894,204,895,1581,0,8936,5043,10600,0,0,0,0,0,0,215,2,0,0,1604,21
Stewart,Ian,164590,149674,14916,21600,0,18327,92263,810,1331,1346,13867,130,992,10723,101,197,0,0,0,0,2560,16,0,0,343,2
Atkins,Charlotte,164458,153189,11269,23083,0,21324,90504,1497,5501,1284,0,9996,6844,969,0,0,0,0,0,0,1920,30,0,0,1536,24
ÃÂpik,Lembit,164406,154898,9508,23083,0,26955,84471,691,1718,1346,7111,9523,6378,1256,391,0,37,223,0,1223,0,0,0,0,0,0
Paterson,Mr Owen,164297,146757,17540,22637,0,17776,87891,778,3169,1219,0,13287,3962,776,118,871,1764,471,8782,0,635,20,0,0,161,4
Burden,Richard,164252,150783,13469,21061,0,12339,96412,664,2389,1450,3523,12945,2496,8631,0,28,0,40,0,0,1738,27,0,0,536,12
Rowen,Paul,164139,151916,12223,23083,0,22994,88468,1328,4591,1128,0,10324,4087,6817,685,540,0,0,0,0,0,0,0,0,94,2
Sanders,Mr Adrian,164063,150593,13470,19924,0,23656,88170,1210,4728,1323,2510,9072,3906,6905,0,0,0,0,0,0,543,6,0,0,2116,20
Hughes,Rt Hon Beverley,164055,150717,13338,23083,0,21546,90229,1745,4600,1345,0,8169,2684,9632,0,75,0,0,0,0,576,4,0,0,371,5
Hodgson,Mrs Sharon,164038,145218,18820,22942,0,17663,94456,893,1349,1153,2968,3794,2240,10549,1264,242,0,6,0,0,2880,25,546,6,1093,16
Byrne,Rt Hon Liam,164024,155705,8319,23083,0,20273,91461,2519,4394,2721,1678,9576,1856,4566,0,417,0,0,0,0,692,11,435,10,353,11
Godsiff,Mr Roger,163885,153072,10813,23083,0,16376,95459,1441,5497,1208,0,10008,8124,187,0,0,0,0,0,0,1416,30,0,0,1086,23
Wareing,Mr Robert N.,163775,148621,15154,19683,0,29250,79096,239,1247,924,8516,9666,10326,3034,1153,0,0,0,0,0,0,0,0,0,641,4
Lamb,Norman,163746,155937,7809,23083,0,22951,92443,1822,4527,1111,0,10000,3133,3492,0,14,0,550,136,0,162,8,25,2,297,8
Ellman,Mrs Louise,163476,148100,15376,22831,0,14530,96836,654,2030,1277,0,9942,1680,11258,0,0,0,0,0,0,1045,11,0,0,1393,13
Donohoe,Mr Brian H.,163390,137859,25531,23083,0,20254,83894,609,2558,1291,0,6170,5986,1249,13672,2487,0,0,0,0,862,6,0,0,1275,8
Bayley,Hugh,163319,149847,13472,23083,0,20229,91614,1412,4117,1028,0,8364,5556,3224,218,1028,185,19,0,562,1677,18,0,0,1003,12
Betts,Mr Clive,163255,151206,12049,23081,0,17096,94748,1393,3542,1347,0,9999,5111,4878,0,587,202,0,0,0,0,0,0,0,1271,14
Rennie,Willie,163202,147901,15301,21220,0,26629,82164,952,2870,1169,0,12897,1623,8527,3272,221,0,0,0,0,334,2,167,2,1157,7
Moore,Mr Michael,163098,144868,18230,21563,0,18403,89873,734,3324,964,0,10007,2926,4846,6749,139,0,0,0,760,2484,16,0,0,326,4
McGuire,Rt Hon Anne,162765,144979,17786,19595,0,19994,86623,1856,3640,1781,0,11490,1680,2784,9847,28,0,0,0,0,2094,12,0,0,1353,16
