name,new_name,original,implemented,orig_type,new_type,new_sub_type,Depricated,converted,loopable,alt,input,intype,output,outtype,listize,extract,field,ftype,ptype,dictize,emit,pdictize
pipeflickr,flickr,TRUE,FALSE,source,processor,source,FALSE,FALSE,TRUE,,n/a,n/a,items,item,FALSE,None,None,none,pass,TRUE,FALSE,TRUE
pipelocationextractor,locationextractor,TRUE,FALSE,operator,processor,processor,FALSE,FALSE,FALSE,,item,feed,items,location,FALSE,None,None,pass,pass,TRUE,FALSE,TRUE
pipemax,max,FALSE,FALSE,operator,operator,aggregator,FALSE,FALSE,FALSE,,items,number,items,number,FALSE,None,None,pass,pass,FALSE,FALSE,TRUE
pipemean,mean,FALSE,FALSE,operator,operator,aggregator,FALSE,FALSE,FALSE,,items,number,items,number,FALSE,None,None,pass,pass,FALSE,FALSE,TRUE
pipemin,min,FALSE,FALSE,operator,operator,aggregator,FALSE,FALSE,FALSE,,items,number,items,number,FALSE,None,None,pass,pass,FALSE,FALSE,TRUE
pipeoutputcsv,outputcsv,FALSE,FALSE,output,processor,processor,FALSE,FALSE,FALSE,,item,feed,items,item,FALSE,None,None,pass,pass,TRUE,FALSE,TRUE
pipeoutputical,outputical,FALSE,FALSE,output,processor,processor,FALSE,FALSE,FALSE,,item,feed,items,item,FALSE,None,None,pass,pass,TRUE,FALSE,TRUE
pipeoutputjson,outputjson,TRUE,FALSE,output,processor,processor,FALSE,FALSE,FALSE,,item,feed,items,item,FALSE,None,None,pass,pass,TRUE,FALSE,TRUE
pipeoutputkml,outputkml,FALSE,FALSE,output,processor,processor,FALSE,FALSE,FALSE,,item,feed,items,item,FALSE,None,None,pass,pass,TRUE,FALSE,TRUE
pipesum,sum,FALSE,FALSE,operator,operator,aggregator,FALSE,FALSE,FALSE,,items,number,items,number,FALSE,None,None,pass,pass,FALSE,FALSE,TRUE
pipetermextractor,termextractor,TRUE,FALSE,string,processor,processor,FALSE,FALSE,TRUE,,item,text,items,text,FALSE,None,content,text,pass,TRUE,FALSE,TRUE
pipetranslate,translate,TRUE,FALSE,string,processor,processor,FALSE,FALSE,TRUE,,item,text,items,text,FALSE,None,content,text,pass,TRUE,FALSE,TRUE
pipewebservice,webservice,TRUE,FALSE,operator,operator,operator,FALSE,FALSE,FALSE,,items,feed,items,item,FALSE,None,None,pass,pass,TRUE,FALSE,TRUE
pipeyahoolocal,yahoolocal,TRUE,FALSE,source,processor,source,FALSE,FALSE,TRUE,,n/a,n/a,items,item,FALSE,None,None,none,pass,TRUE,FALSE,TRUE
pipeyahooshortcuts,yahooshortcuts,TRUE,FALSE,string,processor,processor,FALSE,FALSE,TRUE,,item,text,items,item,FALSE,None,content,text,pass,TRUE,FALSE,TRUE
pipecount,count,TRUE,TRUE,operator,operator,aggregator,FALSE,TRUE,FALSE,,items,feed,items,number,FALSE,None,None,pass,pass,FALSE,FALSE,TRUE
pipecsv,fetchcsv,TRUE,TRUE,source,processor,source,FALSE,TRUE,TRUE,,n/a,n/a,items,item,FALSE,None,None,none,pass,TRUE,FALSE,TRUE
pipecurrencyformat,currencyformat,FALSE,TRUE,number,processor,transformer,FALSE,TRUE,TRUE,,item,number,items,text,FALSE,None,content,decimal,pass,TRUE,FALSE,TRUE
pipedateformat,dateformat,TRUE,TRUE,date,processor,transformer,FALSE,TRUE,TRUE,,item,datetime,items,text,FALSE,None,date,date,pass,TRUE,FALSE,TRUE
pipeexchangerate,exchangerate,FALSE,TRUE,string,processor,transformer,FALSE,TRUE,TRUE,,item,number,items,number,FALSE,None,base,text,pass,TRUE,FALSE,TRUE
pipefeedautodiscovery,discoverfeed,TRUE,TRUE,source,processor,source,FALSE,TRUE,TRUE,,n/a,n/a,items,item,TRUE,url,None,none,pass,TRUE,FALSE,TRUE
